ticker,date,price,volume,return_z,volume_ratio,rsi,composite_score,status_at_time
ABCL,2026-08-10,9.34000015258789,45715210,2.7375007482114926,6.469775432670878,82.71844951447329,8.861645171171837,watching
ABNB,2026-08-09,178.07000732421875,15890600,4.348600970637737,3.694693583357069,79.60678968238817,7.635430347642568,watching
ABNB,2026-08-10,184.6999969482422,8603091,3.7020705402434158,1.907026386898976,82.87980825432697,5.266693092228932,watching
AVNT,2026-08-09,45.68999862670898,1664700,3.4015310618324794,2.1038463725806147,78.17645843136542,5.068906603040403,watching
AVNT,2026-08-10,45.650001525878906,973977,3.5277762518162943,1.1979611793603635,76.92307692307693,4.264198969638196,watching
BMRN,2026-08-10,68.87999725341797,5002776,2.5819848901242213,2.473745379629864,78.35777350491794,4.622885739852444,watching
BTG,2026-08-09,5.03000020980835,71351500,3.551633272317168,3.1685366264698027,83.17308849572737,6.3836316687015175,watching
BTG,2026-08-10,5.059999942779541,30408782,3.491266949086942,1.3325949150041432,81.95877397259684,4.4630373435430215,watching
BWMN,2026-08-10,42.41999816894531,3060828,6.565300005302409,10.097530271200396,89.22625240765447,16.447355324655895,watching
CANE,2026-08-09,10.649999618530272,628300,2.6439776812317866,2.649378030782205,78.94733209690332,4.872302353952058,watching
CANE,2026-08-10,10.699999809265137,283064,2.85857584622123,1.2132621142334474,79.22074946371333,3.656252949728944,watching
CION,2026-08-09,7.510000228881836,1361300,3.5672493991822254,2.2700061698544247,78.37838186148379,5.404823206266325,watching
CION,2026-08-10,7.480000019073486,693765,3.108485348530415,1.1331247884369056,76.30521711504356,3.767714479268192,watching
CRCT,2026-08-10,5.900000095367432,1741131,2.7857641144843766,2.2406603440872863,76.80609350832353,4.562546328738133,watching
DEO,2026-08-09,96.3499984741211,3135300,3.050915380987337,2.415159743486048,76.4112015893229,4.994299156259842,watching
DEO,2026-08-10,97.11000061035156,1695989,2.4666959153573833,1.270756463526262,81.890854491795,3.3752694687195453,watching
EDRY,2026-08-10,36.38999938964844,298576,3.903318808112068,2.4611874329218932,84.9572737446245,6.063651715926452,watching
EQX,2026-08-09,11.579999923706056,32227600,3.46129378779578,2.0343453108572884,78.54329304373684,5.066504959527805,watching
EQX,2026-08-10,11.59000015258789,12174107,2.913990132732584,0.761983212813641,76.85773554075438,3.4511448435476715,watching
ERO,2026-08-09,34.310001373291016,2749700,2.943143104371861,2.8719743060814165,84.08586541742628,5.496834718801803,watching
ERO,2026-08-10,36.540000915527344,3535764,3.339353418124571,3.216456109363896,84.60988028485441,6.248007133185555,watching
FIGS,2026-08-09,14.260000228881836,11253400,4.417270328518055,3.2454163332107657,81.94887088655727,7.301664079459965,watching
FIGS,2026-08-10,14.390000343322754,4077860,3.5193933812157243,1.147439501299707,82.28839012501949,4.312600685015821,watching
GDX,2026-08-09,89.88999938964844,44566600,3.1808358166464044,2.1836492606531457,79.78225743106199,4.96013022592079,watching
GDX,2026-08-10,90.48999786376953,22665793,3.012341020383693,1.1040349511841345,77.81568170698397,3.672689605707507,watching
GDXJ,2026-08-09,117.62000274658205,10757600,3.03706661097749,2.0256959234131178,77.39552616014548,4.610673057593518,watching
GDXJ,2026-08-10,118.77999877929688,4684724,2.8791796502485196,0.8862459986993645,75.15657867585143,3.3823112237655484,watching
GDXU,2026-08-09,130.42999267578125,3159600,3.5412370982100128,2.0877701311959616,79.1941370873186,5.212889971152347,watching
GDXU,2026-08-10,133.30999755859375,1748766,3.3030997989772226,1.129680443700181,77.63250355997897,3.985430313876983,watching
GTN,2026-08-09,5.369999885559082,4322000,3.5935427065230363,3.321919519159452,78.57143161248283,6.486890857932144,watching
GTN,2026-08-10,4.980000019073486,1703939,2.476287589152721,1.2766199109113665,66.9201549521821,3.0913105991077297,watching
HALO,2026-08-09,103.12000274658205,7690900,3.415355266445328,3.8451423886089113,92.133377296814,7.103165200990519,watching
HALO,2026-08-10,102.62000274658203,4934717,3.1199205417702767,2.289078380196068,90.19411035350544,5.212881129036453,watching
HNST,2026-08-09,5.460000038146973,6757000,4.01066310018993,2.808623309037931,83.26359674026983,6.484558344033258,watching
HNST,2026-08-10,5.230000019073486,4187897,2.9364855741808595,1.638015264151027,75.76922770082615,4.0898853923484095,watching
HZO,2026-08-10,52.119998931884766,7671266,4.941844895519922,11.34092512780089,84.78821054879651,15.978534234296742,watching
IAG,2026-08-09,18.31999969482422,12371900,3.5981256605879257,2.158811422668576,78.53402788448707,5.327617640946243,watching
IAG,2026-08-10,18.43000030517578,7590009,3.3919862998474843,1.2917052564572655,75.70370205014518,4.1977655973076535,watching
ICUI,2026-08-09,184.5599975585937,931200,2.738993370057213,2.7284314156374982,76.69673926512395,5.001359570997191,watching
ICUI,2026-08-10,182.4199981689453,472489,1.6447492192285993,1.3230188661282345,72.87675834731589,2.4253032523031512,watching
JWEL,2026-08-10,4.0,82814711,6.745236053961585,19.98238580867555,83.15994506141836,26.3908207638655,watching
MAKO,2026-08-09,9.539999961853027,468000,3.691810857381898,3.116883116883117,82.70676655787052,6.462829305422426,watching
MAKO,2026-08-10,9.649999618530273,219856,3.297734854702205,1.4699420597214108,82.57575420053244,4.419191998434265,watching
MATV,2026-08-09,12.890000343322754,1414600,4.555970031334871,2.6561517157207906,91.9795259473863,7.051712266003388,watching
MATV,2026-08-10,12.800000190734863,886370,3.682012877352806,1.6211955075415394,90.41096013445501,5.111427587583446,watching
MB,2026-08-09,8.920000076293945,31881700,6.761426023171651,19.98226261360076,83.7427501313671,26.418543639399747,watching
MB,2026-08-10,6.800000190734863,563118,3.6170119557599074,0.3468306353449586,64.33052063382927,3.903622368436493,watching
MTW,2026-08-09,18.809999465942383,1345000,2.9636615415803016,4.800742419645566,85.32863764369897,7.470976714099847,watching
MTW,2026-08-10,18.889999389648438,609482,2.623635219895699,2.089993419498243,84.73748395550591,4.40837831850406,watching
PUBM,2026-08-09,17.780000686645508,3284300,3.4152936578062083,5.545743135996758,80.89591081149746,8.578955010032915,watching
PUBM,2026-08-10,17.760000228881836,1627901,2.848121149442034,2.4741826968270857,82.52687207232336,4.972841287715587,watching
RCEL,2026-08-09,7.769999980926514,7249400,5.020445201341965,12.422396435762328,77.33888156394674,16.989619268383226,watching
RCEL,2026-08-10,7.599999904632568,955718,3.741125570729381,1.5432332104895252,75.45638782395791,4.7934865376980635,watching
RWAY,2026-08-09,6.840000152587891,1953300,4.2887641954707645,3.237424380541974,79.8507570680442,7.123203717373622,watching
RWAY,2026-08-10,6.630000114440918,1265884,3.064005348781992,2.0519445658361746,73.62385988335862,4.588427112285339,watching
