resolution,sample_count,avg_max_gain_pct,p90_max_gain_pct,avg_days_to_max_gain,p90_days_to_max_gain,updated_at
all,20,0.23068122548118314,0.4994803761922003,6.5,17.200000000000003,2026-09-15T00:44:48.617619
sold,16,0.1758700790490763,0.4293643400371555,3.5,8.0,2026-09-15T00:44:48.618662
timeout,4,0.4499258112096105,0.7069988662276898,18.5,21.1,2026-09-15T00:44:48.619235
