ticker,signal_date,signal_price,min_price,min_price_date,max_gain_pct,days_to_max_gain,closed_date,resolution
YJ,2026-08-10,2.7,1.7400000095367432,2026-08-18,0.3555555520234285,8,2026-08-19,sold
JWEL,2026-08-13,3.1600000858306885,2.440000057220459,2026-08-19,0.2278481041309714,6,2026-08-20,sold
IPST,2026-08-19,8.449999809265137,8.449999809265137,2026-08-19,0.0,0,2026-08-20,sold
MRNX,2026-08-20,74.30999755859375,74.30999755859375,2026-08-20,0.0,0,2026-08-21,sold
PLAG,2026-08-13,1.1299999952316284,0.684499979019165,2026-08-21,0.3942478036215782,8,2026-08-24,sold
FGI,2026-08-17,9.079999923706056,7.019999980926514,2026-08-24,0.2268722423004978,7,2026-08-25,sold
ZTG,2026-08-17,3.2699999809265137,0.8819000124931335,2026-08-24,0.730305805003932,7,2026-08-25,sold
MRNA,2026-08-20,133.32000732421875,133.32000732421875,2026-08-20,0.0,0,2026-08-25,sold
MRNY,2026-08-20,32.0,32.0,2026-08-20,0.0,0,2026-08-25,sold
ZSTK,2026-08-21,4.710000038146973,4.710000038146973,2026-08-21,0.0,0,2026-08-25,sold
DFSC,2026-08-17,2.1600000858306885,1.5499999523162842,2026-08-21,0.2824074579977674,4,2026-08-27,sold
CDTG,2026-08-20,1.830000042915344,0.9800000190734864,2026-08-25,0.4644808764527328,5,2026-08-27,sold
MB,2026-08-10,6.8,4.150000095367432,2026-09-01,0.3897058683283189,22,2026-09-01,timeout
WXM,2026-08-13,4.71999979019165,4.110000133514404,2026-08-29,0.12923722114243522,16,2026-09-02,timeout
RDIB,2026-09-01,15.100000381469728,15.100000381469728,2026-09-01,0.0,0,2026-09-02,sold
