ticker,entry_date,entry_price,entry_score,peak_price,peak_rsi,peak_date,status,last_updated,signal_date,signal_price,min_price_since_signal,min_price_date
ABCL,2026-08-10,9.34000015258789,8.861645171171837,11.380000114440918,97.37248733728391,2026-08-14,faded,2026-08-17,,,,
ABNB,2026-08-09,178.07000732421875,7.635430347642568,185.1300048828125,88.75279604076943,2026-08-13,faded,2026-08-17,,,,
ACB,2026-08-13,3.819999933242798,6.599779955663368,3.819999933242798,87.16217043454054,2026-08-13,faded,2026-08-17,,,,
ALMR,2026-08-11,36.56999969482422,8.317942158316757,36.56999969482422,84.59215511233596,2026-08-11,faded,2026-08-14,,,,
ATRO,2026-08-13,92.61000061035156,4.506749961652794,93.4499969482422,81.07090430034894,2026-08-14,faded,2026-08-17,,,,
AVNT,2026-08-09,45.68999862670898,5.068906603040403,46.34000015258789,84.66387385211796,2026-08-14,faded,2026-08-17,,,,
BMRN,2026-08-10,68.87999725341797,4.622885739852444,69.55000305175781,82.96865497097131,2026-08-10,faded,2026-08-13,,,,
BOXL,2026-08-13,7.869999885559082,24.20447999162539,7.869999885559082,78.96174827791425,2026-08-13,faded,2026-08-17,,,,
BTG,2026-08-09,5.03000020980835,6.3836316687015175,5.070000171661377,83.17308849572737,2026-08-09,faded,2026-08-13,,,,
BUFR,2026-08-13,37.43000030517578,5.151991680822698,37.43000030517578,80.37982935203024,2026-08-13,faded,2026-08-17,,,,
BWMN,2026-08-10,42.41999816894531,16.447355324655895,42.41999816894531,91.75021144568456,2026-08-10,faded,2026-08-13,,,,
CURI,2026-08-13,3.990000009536743,17.925218809443866,3.990000009536743,93.5134960979913,2026-08-13,short_signal,2026-08-27,2026-08-17,2.950000047683716,2.720000028610229,2026-08-25
DEO,2026-08-09,96.3499984741211,4.994299156259842,97.11000061035156,81.890854491795,2026-08-09,faded,2026-08-13,,,,
EOLS,2026-08-11,8.34000015258789,5.555484785850117,8.34000015258789,87.46178921895654,2026-08-11,faded,2026-08-14,,,,
EQX,2026-08-09,11.579999923706056,5.066504959527805,11.65999984741211,78.54329304373684,2026-08-09,faded,2026-08-13,,,,
ERO,2026-08-09,34.310001373291016,5.496834718801803,36.540000915527344,84.60988028485441,2026-08-09,faded,2026-08-13,,,,
FGI,2026-08-13,11.720000267028809,25.90577206246764,11.720000267028809,93.53523306864476,2026-08-13,sold,2026-08-25,2026-08-17,9.079999923706056,7.019999980926514,2026-08-24
FIGS,2026-08-09,14.260000228881836,7.301664079459965,14.84000015258789,98.27585583209547,2026-08-13,faded,2026-08-17,,,,
GDX,2026-08-09,89.88999938964844,4.96013022592079,90.48999786376952,79.78225743106199,2026-08-09,faded,2026-08-13,,,,
GDXJ,2026-08-09,117.62000274658205,4.610673057593518,118.77999877929688,77.39552616014548,2026-08-09,faded,2026-08-13,,,,
GDXU,2026-08-09,130.42999267578125,5.212889971152347,133.30999755859375,79.1941370873186,2026-08-09,faded,2026-08-13,,,,
GTN,2026-08-09,5.369999885559082,6.486890857932144,5.369999885559082,78.57143161248283,2026-08-09,faded,2026-08-13,,,,
HALO,2026-08-09,103.12000274658205,7.103165200990519,103.12000274658205,92.61168015487404,2026-08-09,faded,2026-08-13,,,,
HNST,2026-08-09,5.460000038146973,6.484558344033258,5.460000038146973,83.26359674026983,2026-08-09,faded,2026-08-13,,,,
HZO,2026-08-10,52.119998931884766,15.978534234296742,52.459999084472656,85.94554947780192,2026-08-10,faded,2026-08-13,,,,
IAG,2026-08-09,18.31999969482422,5.327617640946243,18.43000030517578,78.53402788448707,2026-08-09,faded,2026-08-13,,,,
ICUI,2026-08-09,184.5599975585937,5.001359570997191,184.5599975585937,76.69673926512395,2026-08-09,faded,2026-08-13,,,,
JWEL,2026-08-10,4.0,26.3908207638655,4.0,83.15994506141836,2026-08-10,sold,2026-08-20,2026-08-13,3.1600000858306885,2.440000057220459,2026-08-19
MATV,2026-08-09,12.890000343322754,7.051712266003388,12.890000343322754,91.9795259473863,2026-08-09,faded,2026-08-13,,,,
MB,2026-08-09,8.920000076293945,26.418543639399747,8.920000076293945,83.7427501313671,,short_signal,2026-08-27,2026-08-10,6.8,4.550000190734863,2026-08-24
OMER,2026-08-13,17.350000381469727,8.738694234363118,17.360000610351562,94.57547156549342,2026-08-17,faded,2026-08-17,,,,
P,2026-08-11,109.37999725341795,5.857652919787895,118.16000366210938,90.6053834960083,2026-08-14,faded,2026-08-17,,,,
PLAG,2026-08-11,5.809999942779541,21.360819375102825,5.809999942779541,95.4703834018965,2026-08-11,sold,2026-08-24,2026-08-13,1.1299999952316284,0.684499979019165,2026-08-21
PLTY,2026-08-13,37.970001220703125,4.400383586571626,38.56999969482422,80.62466754907231,2026-08-13,faded,2026-08-17,,,,
